#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
374.00	6.3601	0.12460	15.914	16.358	56.427	454.40	0.0022007	14.617	14.856	52.412	47.713	120.55	698.02	0.58448	58.442	0.29393	57.369	0.017431	25.021	26.909	84.641	51.982	135.45	366.18	10.889	13.435	0.059104
376.00	6.6123	0.13063	16.152	16.614	57.063	448.59	0.0022292	14.831	15.082	52.989	47.860	124.28	677.46	0.63835	56.949	0.28920	60.466	0.016538	24.948	26.810	84.181	52.554	142.63	363.61	10.642	13.618	0.061296
378.00	6.8721	0.13701	16.393	16.873	57.703	442.55	0.0022597	15.048	15.312	53.575	48.026	128.55	656.53	0.69797	55.453	0.28446	63.777	0.015680	24.867	26.702	83.707	53.140	150.79	360.91	10.398	13.814	0.063717
380.00	7.1397	0.14379	16.637	17.136	58.347	436.25	0.0022923	15.270	15.549	54.171	48.214	133.49	635.22	0.76426	53.953	0.27970	67.327	0.014853	24.780	26.586	83.216	53.739	160.13	358.07	10.154	14.025	0.066407
382.00	7.4153	0.15100	16.885	17.402	58.996	429.67	0.0023274	15.497	15.791	54.779	48.427	139.27	613.50	0.83838	52.445	0.27491	71.147	0.014055	24.684	26.459	82.706	54.354	170.97	355.09	9.9100	14.251	0.069419
384.00	7.6991	0.15871	17.135	17.672	59.650	422.76	0.0023654	15.731	16.041	55.401	48.669	146.11	591.34	0.92174	50.926	0.27011	75.276	0.013284	24.580	26.322	82.174	54.989	183.75	351.95	9.6651	14.497	0.072820
386.00	7.9913	0.16696	17.389	17.947	60.310	415.47	0.0024069	15.971	16.298	56.039	48.947	154.35	568.71	1.0162	49.390	0.26530	79.761	0.012537	24.465	26.171	81.616	55.653	199.06	348.65	9.4175	14.766	0.076698
388.00	8.2922	0.17586	17.647	18.226	60.976	407.73	0.0024526	16.219	16.566	56.698	49.267	164.46	545.56	1.1239	47.833	0.26049	84.665	0.011811	24.338	26.006	81.027	56.361	217.84	345.15	9.1650	15.061	0.081176
390.00	8.6020	0.18549	17.909	18.509	61.650	399.48	0.0025033	16.477	16.844	57.380	49.639	177.15	521.84	1.2481	46.246	0.25571	90.067	0.011103	24.196	25.822	80.401	57.139	241.51	341.41	8.9047	15.388	0.086425
392.00	8.9210	0.19599	18.176	18.798	62.332	390.59	0.0025603	16.747	17.136	58.091	50.077	193.56	497.43	1.3927	44.622	0.25101	96.077	0.010408	24.037	25.618	79.729	58.027	272.38	337.37	8.6323	15.755	0.092700
394.00	9.2497	0.20754	18.448	19.093	63.024	380.90	0.0026253	17.032	17.445	58.841	50.609	215.66	472.14	1.5640	42.945	0.24651	102.85	0.0097230	23.856	25.387	78.998	59.092	314.49	332.92	8.3423	16.172	0.10040
396.00	9.5882	0.22040	18.726	19.395	63.728	370.21	0.0027012	17.335	17.776	59.639	51.288	247.08	445.53	1.7709	41.195	0.24243	110.61	0.0090405	23.647	25.123	78.192	60.446	375.51	327.88	8.0262	16.655	0.11018
398.00	9.9372	0.23494	19.011	19.705	64.446	358.13	0.0027923	17.663	18.136	60.505	52.240	295.62	416.75	2.0290	39.340	0.23926	119.74	0.0083515	23.399	24.813	77.280	62.294	471.90	321.92	7.6714	17.230	0.12327
400.00	10.297	0.25171	19.305	20.023	65.182	344.01	0.0029069	18.030	18.539	61.472	53.786	381.29	383.98	2.3671	37.319	0.23810	130.89	0.0076402	23.095	24.435	76.212	65.066	646.36	314.35	7.2565	17.944	0.14234


