#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
382.00	5.2118	undefined	24.871	25.905	93.743	222.20	0.0045005	24.871	25.905	93.743	99.518	564.04	163.73	9.9106	22.819	0.063066	222.20	0.0045005	24.871	25.905	93.743	99.518	564.04	163.73	9.9106	22.819	0.063066
384.00	5.3725	undefined	25.070	26.136	94.261	222.20	0.0045005	25.070	26.136	94.261	98.824	491.34	167.70	9.5249	22.880	0.061756	222.20	0.0045005	25.070	26.136	94.261	98.824	491.34	167.70	9.5249	22.880	0.061756
386.00	5.5336	undefined	25.267	26.365	94.773	222.20	0.0045005	25.267	26.365	94.773	98.308	437.78	171.50	9.1619	22.942	0.060746	222.20	0.0045005	25.267	26.365	94.773	98.308	437.78	171.50	9.1619	22.942	0.060746
388.00	5.6951	undefined	25.463	26.593	95.280	222.20	0.0045005	25.463	26.593	95.280	97.916	396.79	175.18	8.8200	23.005	0.059958	222.20	0.0045005	25.463	26.593	95.280	97.916	396.79	175.18	8.8200	23.005	0.059958
390.00	5.8569	undefined	25.658	26.821	95.782	222.20	0.0045005	25.658	26.821	95.782	97.617	364.46	178.75	8.4978	23.068	0.059336	222.20	0.0045005	25.658	26.821	95.782	97.617	364.46	178.75	8.4978	23.068	0.059336
392.00	6.0189	undefined	25.853	27.048	96.281	222.20	0.0045005	25.853	27.048	96.281	97.390	338.35	182.23	8.1936	23.132	0.058845	222.20	0.0045005	25.853	27.048	96.281	97.390	338.35	182.23	8.1936	23.132	0.058845
394.00	6.1813	undefined	26.048	27.275	96.776	222.20	0.0045005	26.048	27.275	96.776	97.222	316.86	185.64	7.9062	23.195	0.058456	222.20	0.0045005	26.048	27.275	96.776	97.222	316.86	185.64	7.9062	23.195	0.058456
396.00	6.3439	undefined	26.242	27.501	97.268	222.20	0.0045005	26.242	27.501	97.268	97.104	298.88	188.97	7.6343	23.259	0.058152	222.20	0.0045005	26.242	27.501	97.268	97.104	298.88	188.97	7.6343	23.259	0.058152
398.00	6.5067	undefined	26.436	27.728	97.757	222.20	0.0045005	26.436	27.728	97.757	97.028	283.64	192.23	7.3767	23.322	0.057916	222.20	0.0045005	26.436	27.728	97.757	97.028	283.64	192.23	7.3767	23.322	0.057916
400.00	6.6697	undefined	26.630	27.954	98.243	222.20	0.0045005	26.630	27.954	98.243	96.990	270.57	195.43	7.1323	23.385	0.057737	222.20	0.0045005	26.630	27.954	98.243	96.990	270.57	195.43	7.1323	23.385	0.057737


