#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
687.08	112.68	undefined	13.685	21.182	73.756	30.300	0.033003	13.685	21.182	73.756	21.820	29.786	2563.7	-0.55619	17.515	0.39294	30.300	0.033003	13.685	21.182	73.756	21.820	29.786	2563.7	-0.55619	17.515	0.39294
688.72	112.94	undefined	13.721	21.235	73.808	30.300	0.033003	13.721	21.235	73.808	21.822	29.787	2566.4	-0.55621	17.544	0.39359	30.300	0.033003	13.721	21.235	73.808	21.822	29.787	2566.4	-0.55621	17.544	0.39359
690.37	113.21	undefined	13.757	21.288	73.860	30.300	0.033003	13.757	21.288	73.860	21.824	29.788	2569.2	-0.55622	17.573	0.39425	30.300	0.033003	13.757	21.288	73.860	21.824	29.788	2569.2	-0.55622	17.573	0.39425
692.01	113.47	undefined	13.792	21.341	73.912	30.300	0.033003	13.792	21.341	73.912	21.827	29.789	2571.9	-0.55623	17.602	0.39491	30.300	0.033003	13.792	21.341	73.912	21.827	29.789	2571.9	-0.55623	17.602	0.39491
693.65	113.73	undefined	13.828	21.395	73.963	30.300	0.033003	13.828	21.395	73.963	21.829	29.789	2574.7	-0.55624	17.632	0.39556	30.300	0.033003	13.828	21.395	73.963	21.829	29.789	2574.7	-0.55624	17.632	0.39556
695.29	113.99	undefined	13.864	21.448	74.015	30.300	0.033003	13.864	21.448	74.015	21.831	29.790	2577.4	-0.55625	17.661	0.39622	30.300	0.033003	13.864	21.448	74.015	21.831	29.790	2577.4	-0.55625	17.661	0.39622
696.93	114.25	undefined	13.900	21.501	74.066	30.300	0.033003	13.900	21.501	74.066	21.834	29.791	2580.1	-0.55626	17.690	0.39687	30.300	0.033003	13.900	21.501	74.066	21.834	29.791	2580.1	-0.55626	17.690	0.39687
698.57	114.51	undefined	13.936	21.554	74.118	30.300	0.033003	13.936	21.554	74.118	21.836	29.792	2582.9	-0.55626	17.719	0.39753	30.300	0.033003	13.936	21.554	74.118	21.836	29.792	2582.9	-0.55626	17.719	0.39753
700.22	114.77	undefined	13.972	21.608	74.169	30.300	0.033003	13.972	21.608	74.169	21.838	29.793	2585.6	-0.55627	17.749	0.39819	30.300	0.033003	13.972	21.608	74.169	21.838	29.793	2585.6	-0.55627	17.749	0.39819
701.86	115.04	undefined	14.007	21.661	74.220	30.300	0.033003	14.007	21.661	74.220	21.841	29.794	2588.3	-0.55627	17.778	0.39884	30.300	0.033003	14.007	21.661	74.220	21.841	29.794	2588.3	-0.55627	17.778	0.39884
