#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
244.00	23.389	undefined	1.0603	2.7983	98.211	537.60	0.0018601	1.0603	2.7983	98.211	14.628	40.163	376.81	1.3630	35.083	0.034375	537.60	0.0018601	1.0603	2.7983	98.211	14.628	40.163	376.81	1.3630	35.083	0.034375
246.00	23.785	undefined	1.0895	2.8569	98.330	537.60	0.0018601	1.0895	2.8569	98.330	14.599	39.752	379.43	1.3301	35.225	0.034477	537.60	0.0018601	1.0895	2.8569	98.330	14.599	39.752	379.43	1.3301	35.225	0.034477
248.00	24.180	undefined	1.1187	2.9155	98.448	537.60	0.0018601	1.1187	2.9155	98.448	14.572	39.358	382.03	1.2980	35.366	0.034580	537.60	0.0018601	1.1187	2.9155	98.448	14.572	39.358	382.03	1.2980	35.366	0.034580
250.00	24.576	undefined	1.1478	2.9740	98.565	537.60	0.0018601	1.1478	2.9740	98.565	14.546	38.981	384.60	1.2666	35.507	0.034683	537.60	0.0018601	1.1478	2.9740	98.565	14.546	38.981	384.60	1.2666	35.507	0.034683
252.00	24.971	undefined	1.1769	3.0324	98.681	537.60	0.0018601	1.1769	3.0324	98.681	14.521	38.618	387.14	1.2359	35.647	0.034787	537.60	0.0018601	1.1769	3.0324	98.681	14.521	38.618	387.14	1.2359	35.647	0.034787
254.00	25.365	undefined	1.2059	3.0908	98.795	537.60	0.0018601	1.2059	3.0908	98.795	14.497	38.270	389.66	1.2059	35.787	0.034890	537.60	0.0018601	1.2059	3.0908	98.795	14.497	38.270	389.66	1.2059	35.787	0.034890
256.00	25.760	undefined	1.2349	3.1491	98.909	537.60	0.0018601	1.2349	3.1491	98.909	14.474	37.935	392.16	1.1766	35.926	0.034994	537.60	0.0018601	1.2349	3.1491	98.909	14.474	37.935	392.16	1.1766	35.926	0.034994
258.00	26.154	undefined	1.2638	3.2073	99.022	537.60	0.0018601	1.2638	3.2073	99.022	14.452	37.613	394.63	1.1480	36.065	0.035097	537.60	0.0018601	1.2638	3.2073	99.022	14.452	37.613	394.63	1.1480	36.065	0.035097
260.00	26.549	undefined	1.2927	3.2655	99.133	537.60	0.0018601	1.2927	3.2655	99.133	14.431	37.303	397.08	1.1199	36.203	0.035200	537.60	0.0018601	1.2927	3.2655	99.133	14.431	37.303	397.08	1.1199	36.203	0.035200
262.00	26.943	undefined	1.3215	3.3236	99.244	537.60	0.0018601	1.3215	3.3236	99.244	14.410	37.004	399.51	1.0925	36.341	0.035304	537.60	0.0018601	1.3215	3.3236	99.244	14.410	37.004	399.51	1.0925	36.341	0.035304
264.00	27.336	undefined	1.3503	3.3816	99.353	537.60	0.0018601	1.3503	3.3816	99.353	14.390	36.716	401.92	1.0657	36.479	0.035407	537.60	0.0018601	1.3503	3.3816	99.353	14.390	36.716	401.92	1.0657	36.479	0.035407
266.00	27.730	undefined	1.3791	3.4396	99.462	537.60	0.0018601	1.3791	3.4396	99.462	14.371	36.437	404.30	1.0394	36.615	0.035510	537.60	0.0018601	1.3791	3.4396	99.462	14.371	36.437	404.30	1.0394	36.615	0.035510
268.00	28.123	undefined	1.4078	3.4976	99.569	537.60	0.0018601	1.4078	3.4976	99.569	14.353	36.169	406.67	1.0137	36.752	0.035612	537.60	0.0018601	1.4078	3.4976	99.569	14.353	36.169	406.67	1.0137	36.752	0.035612
270.00	28.516	undefined	1.4365	3.5555	99.676	537.60	0.0018601	1.4365	3.5555	99.676	14.335	35.909	409.01	0.98850	36.888	0.035715	537.60	0.0018601	1.4365	3.5555	99.676	14.335	35.909	409.01	0.98850	36.888	0.035715
272.00	28.909	undefined	1.4652	3.6133	99.782	537.60	0.0018601	1.4652	3.6133	99.782	14.317	35.659	411.33	0.96384	37.024	0.035817	537.60	0.0018601	1.4652	3.6133	99.782	14.317	35.659	411.33	0.96384	37.024	0.035817
274.00	29.302	undefined	1.4938	3.6711	99.887	537.60	0.0018601	1.4938	3.6711	99.887	14.301	35.416	413.64	0.93967	37.159	0.035918	537.60	0.0018601	1.4938	3.6711	99.887	14.301	35.416	413.64	0.93967	37.159	0.035918
276.00	29.694	undefined	1.5224	3.7289	99.990	537.60	0.0018601	1.5224	3.7289	99.990	14.285	35.182	415.93	0.91600	37.293	0.036019	537.60	0.0018601	1.5224	3.7289	99.990	14.285	35.182	415.93	0.91600	37.293	0.036019
278.00	30.086	undefined	1.5509	3.7866	100.09	537.60	0.0018601	1.5509	3.7866	100.09	14.269	34.954	418.20	0.89279	37.428	0.036120	537.60	0.0018601	1.5509	3.7866	100.09	14.269	34.954	418.20	0.89279	37.428	0.036120
280.00	30.478	undefined	1.5794	3.8442	100.20	537.60	0.0018601	1.5794	3.8442	100.20	14.254	34.734	420.45	0.87004	37.561	0.036220	537.60	0.0018601	1.5794	3.8442	100.20	14.254	34.734	420.45	0.87004	37.561	0.036220
282.00	30.870	undefined	1.6079	3.9018	100.30	537.60	0.0018601	1.6079	3.9018	100.30	14.239	34.521	422.68	0.84774	37.695	0.036319	537.60	0.0018601	1.6079	3.9018	100.30	14.239	34.521	422.68	0.84774	37.695	0.036319
284.00	31.261	undefined	1.6364	3.9594	100.40	537.60	0.0018601	1.6364	3.9594	100.40	14.225	34.314	424.90	0.82587	37.828	0.036417	537.60	0.0018601	1.6364	3.9594	100.40	14.225	34.314	424.90	0.82587	37.828	0.036417
286.00	31.653	undefined	1.6648	4.0169	100.50	537.60	0.0018601	1.6648	4.0169	100.50	14.212	34.114	427.10	0.80441	37.960	0.036514	537.60	0.0018601	1.6648	4.0169	100.50	14.212	34.114	427.10	0.80441	37.960	0.036514
288.00	32.044	undefined	1.6932	4.0744	100.60	537.60	0.0018601	1.6932	4.0744	100.60	14.198	33.919	429.28	0.78337	38.092	0.036610	537.60	0.0018601	1.6932	4.0744	100.60	14.198	33.919	429.28	0.78337	38.092	0.036610
290.00	32.435	undefined	1.7216	4.1318	100.69	537.60	0.0018601	1.7216	4.1318	100.69	14.186	33.730	431.45	0.76272	38.224	0.036704	537.60	0.0018601	1.7216	4.1318	100.69	14.186	33.730	431.45	0.76272	38.224	0.036704
292.00	32.825	undefined	1.7500	4.1892	100.79	537.60	0.0018601	1.7500	4.1892	100.79	14.173	33.546	433.60	0.74246	38.355	0.036797	537.60	0.0018601	1.7500	4.1892	100.79	14.173	33.546	433.60	0.74246	38.355	0.036797
294.00	33.216	undefined	1.7783	4.2465	100.89	537.60	0.0018601	1.7783	4.2465	100.89	14.161	33.368	435.74	0.72257	38.486	0.036886	537.60	0.0018601	1.7783	4.2465	100.89	14.161	33.368	435.74	0.72257	38.486	0.036886
296.00	33.606	undefined	1.8066	4.3038	100.98	537.60	0.0018601	1.8066	4.3038	100.98	14.149	33.194	437.86	0.70305	38.617	0.036972	537.60	0.0018601	1.8066	4.3038	100.98	14.149	33.194	437.86	0.70305	38.617	0.036972
298.00	33.996	undefined	1.8349	4.3611	101.08	537.60	0.0018601	1.8349	4.3611	101.08	14.138	33.025	439.97	0.68388	38.747	0.037051	537.60	0.0018601	1.8349	4.3611	101.08	14.138	33.025	439.97	0.68388	38.747	0.037051
300.00	34.386	undefined	1.8632	4.4183	101.17	537.60	0.0018601	1.8632	4.4183	101.17	14.127	32.861	442.06	0.66506	38.877	0.037116	537.60	0.0018601	1.8632	4.4183	101.17	14.127	32.861	442.06	0.66506	38.877	0.037116
302.00	34.775	undefined	1.8914	4.4755	101.27	537.60	0.0018601	1.8914	4.4755	101.27	14.116	32.702	444.14	0.64657	39.006	0.037140	537.60	0.0018601	1.8914	4.4755	101.27	14.116	32.702	444.14	0.64657	39.006	0.037140
304.00	35.165	undefined	1.9196	4.5327	101.36	537.60	0.0018601	1.9196	4.5327	101.36	14.106	32.546	446.20	0.62841	39.135	0.037257	537.60	0.0018601	1.9196	4.5327	101.36	14.106	32.546	446.20	0.62841	39.135	0.037257
306.00	35.554	undefined	1.9478	4.5898	101.45	537.60	0.0018601	1.9478	4.5898	101.45	14.096	32.395	448.26	0.61057	39.264	0.037374	537.60	0.0018601	1.9478	4.5898	101.45	14.096	32.395	448.26	0.61057	39.264	0.037374
308.00	35.943	undefined	1.9760	4.6468	101.55	537.60	0.0018601	1.9760	4.6468	101.55	14.086	32.247	450.29	0.59304	39.392	0.037490	537.60	0.0018601	1.9760	4.6468	101.55	14.086	32.247	450.29	0.59304	39.392	0.037490
310.00	36.331	undefined	2.0042	4.7039	101.64	537.60	0.0018601	2.0042	4.7039	101.64	14.076	32.103	452.32	0.57581	39.520	0.037606	537.60	0.0018601	2.0042	4.7039	101.64	14.076	32.103	452.32	0.57581	39.520	0.037606
312.00	36.720	undefined	2.0323	4.7609	101.73	537.60	0.0018601	2.0323	4.7609	101.73	14.067	31.963	454.33	0.55887	39.647	0.037721	537.60	0.0018601	2.0323	4.7609	101.73	14.067	31.963	454.33	0.55887	39.647	0.037721
