#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
108.00	1.3028	636.50	0.0015711	-1.5623	-1.5050	99.611	27.105	73.394	503.88	0.22761	59.609	0.084370	0.0025943	54.857	0.018229	1.7646	2.4299	136.04	25.511	53.187	181.58	15.338	8.3531	0.013036
108.50	1.3423	632.83	0.0015802	-1.5282	-1.4688	99.929	27.095	74.184	497.11	0.25152	58.694	0.083387	0.0025058	56.695	0.017638	1.7611	2.4244	135.81	25.629	54.227	181.39	15.206	8.4193	0.013224
109.00	1.3826	629.10	0.0015896	-1.4938	-1.4323	100.25	27.088	75.021	490.29	0.27654	57.786	0.082404	0.0024179	58.592	0.017067	1.7573	2.4183	135.57	25.750	55.332	181.19	15.075	8.4867	0.013419
109.50	1.4238	625.31	0.0015992	-1.4592	-1.3954	100.57	27.083	75.908	483.40	0.30275	56.886	0.081420	0.0023305	60.553	0.016514	1.7530	2.4117	135.34	25.876	56.506	180.98	14.944	8.5556	0.013622
110.00	1.4658	621.45	0.0016091	-1.4243	-1.3583	100.89	27.082	76.849	476.44	0.33023	55.993	0.080437	0.0022439	62.579	0.015980	1.7484	2.4045	135.10	26.006	57.758	180.76	14.812	8.6260	0.013834
110.50	1.5087	617.54	0.0016193	-1.3892	-1.3207	101.21	27.084	77.849	469.42	0.35907	55.106	0.079454	0.0021579	64.673	0.015462	1.7433	2.3968	134.86	26.142	59.096	180.53	14.679	8.6980	0.014054
111.00	1.5526	613.55	0.0016299	-1.3537	-1.2828	101.54	27.089	78.914	462.32	0.38936	54.224	0.078472	0.0020725	66.840	0.014961	1.7377	2.3884	134.61	26.284	60.528	180.28	14.546	8.7716	0.014284
111.50	1.5973	609.50	0.0016407	-1.3179	-1.2445	101.86	27.098	80.051	455.16	0.42122	53.347	0.077489	0.0019879	69.083	0.014475	1.7316	2.3793	134.36	26.432	62.066	180.02	14.411	8.8471	0.014524
112.00	1.6430	605.36	0.0016519	-1.2818	-1.2058	102.19	27.110	81.266	447.92	0.45475	52.475	0.076507	0.0019040	71.405	0.014005	1.7250	2.3696	134.11	26.588	63.720	179.75	14.275	8.9246	0.014775
112.50	1.6896	601.15	0.0016635	-1.2454	-1.1667	102.52	27.127	82.568	440.59	0.49010	51.606	0.075526	0.0018208	73.812	0.013548	1.7179	2.3591	133.86	26.752	65.505	179.46	14.137	9.0042	0.015039
