#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
153.50	1.2143	350.70	0.0028514	2.4637	2.5192	18.733	30.670	66.733	878.07	-0.0090456	52.490	0.12420	0.0051831	19.108	0.052333	7.9089	8.9283	60.486	28.815	48.993	285.29	17.278	5.9909	0.019254
154.00	1.2408	349.64	0.0028601	2.4957	2.5527	18.943	30.656	67.019	871.87	0.0013101	52.008	0.12349	0.0050980	19.537	0.051185	7.9116	8.9305	60.357	28.872	49.365	285.16	17.196	6.0157	0.019390
154.50	1.2677	348.58	0.0028688	2.5279	2.5862	19.152	30.643	67.312	865.64	0.011922	51.531	0.12278	0.0050131	19.974	0.050066	7.9142	8.9324	60.228	28.930	49.749	285.03	17.115	6.0408	0.019529
155.00	1.2950	347.51	0.0028776	2.5602	2.6199	19.362	30.631	67.613	859.39	0.022798	51.058	0.12206	0.0049285	20.419	0.048974	7.9166	8.9340	60.098	28.989	50.144	284.88	17.035	6.0661	0.019670
155.50	1.3228	346.43	0.0028866	2.5925	2.6538	19.572	30.619	67.923	853.12	0.033947	50.589	0.12135	0.0048441	20.873	0.047909	7.9188	8.9354	59.968	29.049	50.551	284.73	16.955	6.0918	0.019812
156.00	1.3509	345.34	0.0028957	2.6250	2.6877	19.781	30.608	68.241	846.82	0.045380	50.124	0.12064	0.0047599	21.336	0.046870	7.9208	8.9366	59.838	29.110	50.971	284.57	16.875	6.1176	0.019957
156.50	1.3795	344.24	0.0029049	2.6575	2.7218	19.991	30.597	68.569	840.49	0.057107	49.663	0.11993	0.0046760	21.807	0.045856	7.9227	8.9376	59.708	29.171	51.403	284.41	16.796	6.1438	0.020103
157.00	1.4086	343.14	0.0029143	2.6902	2.7561	20.201	30.587	68.906	834.14	0.069137	49.206	0.11921	0.0045924	22.288	0.044866	7.9244	8.9383	59.578	29.234	51.849	284.23	16.718	6.1703	0.020252
157.50	1.4380	342.02	0.0029238	2.7230	2.7905	20.411	30.578	69.253	827.76	0.081482	48.753	0.11850	0.0045090	22.779	0.043900	7.9259	8.9387	59.447	29.298	52.310	284.05	16.639	6.1971	0.020404
158.00	1.4680	340.90	0.0029334	2.7559	2.8250	20.621	30.569	69.611	821.35	0.094153	48.303	0.11779	0.0044259	23.279	0.042957	7.9272	8.9389	59.316	29.363	52.785	283.86	16.562	6.2242	0.020557
