#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
269.00	3.1175	951.48	0.0010510	8.2196	8.3638	42.457	41.289	106.88	574.54	0.33457	107.79	0.11407	0.0052491	85.626	0.011679	17.455	19.057	82.209	37.208	74.513	214.26	14.857	14.158	0.019050
269.50	3.1602	948.66	0.0010541	8.2693	8.4159	42.643	41.319	107.42	570.01	0.34535	106.88	0.11348	0.0051556	86.989	0.011496	17.448	19.047	82.091	37.345	75.329	214.01	14.780	14.204	0.019200
270.00	3.2033	945.83	0.0010573	8.3190	8.4681	42.829	41.351	107.98	565.46	0.35639	105.98	0.11289	0.0050624	88.374	0.011316	17.441	19.037	81.972	37.482	76.168	213.75	14.704	14.251	0.019353
270.50	3.2469	942.97	0.0010605	8.3690	8.5205	43.016	41.384	108.55	560.90	0.36769	105.08	0.11229	0.0049696	89.781	0.011138	17.434	19.026	81.853	37.621	77.031	213.49	14.628	14.298	0.019509
271.00	3.2909	940.09	0.0010637	8.4191	8.5731	43.202	41.419	109.14	556.32	0.37927	104.19	0.11170	0.0048771	91.213	0.010963	17.427	19.015	81.734	37.762	77.921	213.23	14.552	14.346	0.019669
271.50	3.3354	937.19	0.0010670	8.4694	8.6260	43.390	41.456	109.74	551.72	0.39114	103.30	0.11111	0.0047850	92.668	0.010791	17.420	19.004	81.613	37.904	78.837	212.96	14.476	14.395	0.019833
272.00	3.3802	934.26	0.0010704	8.5198	8.6790	43.577	41.494	110.37	547.11	0.40331	102.42	0.11051	0.0046932	94.148	0.010622	17.412	18.992	81.492	38.048	79.781	212.68	14.401	14.445	0.020000
272.50	3.4256	931.31	0.0010738	8.5705	8.7323	43.765	41.533	111.02	542.48	0.41579	101.54	0.10992	0.0046018	95.652	0.010455	17.404	18.980	81.371	38.194	80.755	212.41	14.325	14.495	0.020171
273.00	3.4713	928.33	0.0010772	8.6213	8.7859	43.953	41.574	111.68	537.84	0.42859	100.66	0.10933	0.0045108	97.183	0.010290	17.395	18.967	81.248	38.341	81.760	212.13	14.250	14.546	0.020347
273.50	3.5175	925.33	0.0010807	8.6723	8.8396	44.142	41.616	112.37	533.18	0.44172	99.791	0.10873	0.0044201	98.740	0.010128	17.387	18.954	81.125	38.490	82.797	211.84	14.174	14.597	0.020527
274.00	3.5642	922.30	0.0010842	8.7235	8.8936	44.331	41.659	113.08	528.51	0.45519	98.922	0.10814	0.0043298	100.32	0.0099677	17.378	18.941	81.001	38.641	83.869	211.55	14.098	14.650	0.020712
274.50	3.6113	919.24	0.0010879	8.7750	8.9479	44.521	41.704	113.81	523.83	0.46903	98.058	0.10754	0.0042399	101.94	0.0098101	17.368	18.927	80.876	38.794	84.977	211.26	14.023	14.703	0.020901
275.00	3.6589	916.16	0.0010915	8.8266	9.0024	44.711	41.750	114.57	519.14	0.48324	97.197	0.10695	0.0041503	103.58	0.0096547	17.359	18.913	80.750	38.949	86.123	210.96	13.947	14.757	0.021095
