#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
455.00	1.0462	885.01	0.0011299	13.873	13.894	38.862	61.027	79.491	1386.5	-0.11214	148.76	0.67039	0.041777	5.3717	0.18616	46.552	50.061	118.35	34.953	49.293	501.39	28.945	15.048	0.035143
460.00	1.1709	879.57	0.0011369	14.269	14.293	39.729	60.671	79.869	1372.2	-0.10631	144.57	0.66783	0.040655	5.9826	0.16715	46.609	50.134	117.64	35.561	50.469	502.24	27.653	15.218	0.036004
465.00	1.3069	874.00	0.0011442	14.668	14.695	40.591	60.324	80.274	1357.3	-0.10017	140.60	0.66504	0.039527	6.6484	0.15041	46.660	50.202	116.95	36.184	51.705	502.98	26.427	15.388	0.036898
470.00	1.4551	868.31	0.0011517	15.068	15.098	41.448	59.984	80.706	1342.0	-0.093693	136.85	0.66203	0.038392	7.3727	0.13564	46.708	50.263	116.27	36.821	53.005	503.60	25.265	15.559	0.037824
475.00	1.6160	862.49	0.0011594	15.471	15.504	42.300	59.651	81.168	1326.1	-0.086840	133.29	0.65879	0.037252	8.1598	0.12255	46.750	50.318	115.59	37.472	54.371	504.09	24.163	15.729	0.038787
480.00	1.7905	856.54	0.0011675	15.875	15.913	43.147	59.327	81.662	1309.8	-0.079585	129.91	0.65535	0.036105	9.0139	0.11094	46.788	50.367	114.93	38.137	55.809	504.45	23.118	15.901	0.039786
485.00	1.9792	850.45	0.0011758	16.281	16.323	43.990	59.010	82.191	1293.0	-0.071893	126.69	0.65168	0.034954	9.9397	0.10061	46.821	50.408	114.27	38.814	57.323	504.68	22.127	16.072	0.040824
490.00	2.1831	844.22	0.0011845	16.690	16.737	44.830	58.702	82.757	1275.7	-0.063724	123.63	0.64781	0.033797	10.942	0.091390	46.848	50.442	113.62	39.503	58.919	504.78	21.187	16.245	0.041903
495.00	2.4028	837.84	0.0011935	17.102	17.153	45.665	58.401	83.363	1257.9	-0.055036	120.70	0.64373	0.032637	12.027	0.083149	46.869	50.469	112.97	40.205	60.605	504.74	20.296	16.419	0.043027
500.00	2.6392	831.31	0.0012029	17.515	17.573	46.498	58.109	84.013	1239.6	-0.045781	117.90	0.63944	0.031472	13.199	0.075764	46.885	50.487	112.33	40.920	62.388	504.55	19.450	16.594	0.044197
505.00	2.8931	824.63	0.0012127	17.932	17.995	47.328	57.824	84.712	1220.8	-0.035903	115.21	0.63494	0.030304	14.465	0.069131	46.895	50.498	111.69	41.648	64.279	504.21	18.648	16.770	0.045418
510.00	3.1655	817.77	0.0012228	18.352	18.421	48.156	57.548	85.464	1201.5	-0.025343	112.63	0.63024	0.029133	15.833	0.063161	46.898	50.500	111.05	42.391	66.289	503.71	17.886	16.949	0.046692
515.00	3.4571	810.74	0.0012334	18.774	18.851	48.982	57.281	86.274	1181.6	-0.014030	110.15	0.62533	0.027959	17.308	0.057776	46.894	50.492	110.42	43.148	68.432	503.06	17.163	17.129	0.048025
520.00	3.7690	803.53	0.0012445	19.200	19.285	49.807	57.023	87.149	1161.3	-0.0018868	107.75	0.62021	0.026784	18.900	0.052910	46.883	50.475	109.79	43.920	70.723	502.23	16.475	17.312	0.049421
525.00	4.1019	796.13	0.0012561	19.630	19.723	50.631	56.775	88.096	1140.5	0.011177	105.44	0.61489	0.025608	20.617	0.048503	46.864	50.448	109.16	44.710	73.181	501.23	15.820	17.498	0.050888
530.00	4.4569	788.53	0.0012682	20.064	20.165	51.454	56.536	89.124	1119.1	0.025264	103.19	0.60937	0.024430	22.470	0.044503	46.838	50.411	108.52	45.519	75.827	500.05	15.197	17.688	0.052431
535.00	4.8349	780.71	0.0012809	20.501	20.613	52.278	56.307	90.242	1097.1	0.040493	101.01	0.60363	0.023253	24.469	0.040868	46.803	50.362	107.88	46.347	78.686	498.68	14.602	17.882	0.054060
540.00	5.2369	772.66	0.0012942	20.943	21.065	53.102	56.089	91.464	1074.6	0.057002	98.894	0.59769	0.022077	26.627	0.037556	46.758	50.302	107.24	47.197	81.789	497.10	14.035	18.080	0.055784
545.00	5.6640	764.36	0.0013083	21.390	21.523	53.928	55.884	92.802	1051.6	0.074951	96.826	0.59153	0.020902	28.956	0.034535	46.705	50.228	106.60	48.070	85.170	495.32	13.492	18.284	0.057617
550.00	6.1172	755.81	0.0013231	21.841	21.987	54.756	55.690	94.275	1027.9	0.094527	94.803	0.58516	0.019730	31.474	0.031772	46.641	50.142	105.95	48.968	88.873	493.31	12.973	18.494	0.059574
555.00	6.5976	746.97	0.0013387	22.299	22.458	55.587	55.511	95.904	1003.5	0.11595	92.820	0.57856	0.018561	34.198	0.029242	46.565	50.041	105.29	49.893	92.949	491.07	12.475	18.711	0.061672
560.00	7.1062	737.83	0.0013553	22.762	22.935	56.422	55.347	97.713	978.54	0.13949	90.871	0.57174	0.017396	37.147	0.026920	46.478	49.925	104.62	50.848	97.461	488.58	11.997	18.936	0.063934
565.00	7.6444	728.36	0.0013729	23.232	23.421	57.261	55.199	99.735	952.85	0.16546	88.948	0.56468	0.016236	40.346	0.024786	46.378	49.792	103.94	51.835	102.49	485.83	11.537	19.171	0.066389
570.00	8.2132	718.53	0.0013917	23.709	23.915	58.106	55.071	102.01	926.44	0.19425	87.046	0.55738	0.015082	43.822	0.022820	46.264	49.641	103.24	52.856	108.13	482.79	11.093	19.418	0.069073
575.00	8.8140	708.30	0.0014118	24.194	24.418	58.959	54.964	104.59	899.25	0.22630	85.158	0.54982	0.013937	47.607	0.021005	46.135	49.470	102.53	53.916	114.50	479.46	10.664	19.677	0.072029
580.00	9.4480	697.64	0.0014334	24.688	24.932	59.821	54.881	107.54	871.23	0.26220	83.278	0.54200	0.012800	51.739	0.019328	45.988	49.278	101.80	55.017	121.78	475.80	10.248	19.952	0.075315
585.00	10.117	686.48	0.0014567	25.192	25.457	60.693	54.828	110.94	842.34	0.30266	81.397	0.53389	0.011673	56.265	0.017773	45.823	49.062	101.04	56.163	130.16	471.80	9.8442	20.246	0.079006
590.00	10.821	674.78	0.0014820	25.707	25.996	61.577	54.808	114.91	812.49	0.34857	79.509	0.52548	0.010559	61.242	0.016329	45.636	48.819	100.26	57.361	139.94	467.41	9.4499	20.561	0.083199
595.00	11.563	662.45	0.0015095	26.234	26.549	62.477	54.829	119.61	781.60	0.40108	77.602	0.51675	0.0094591	66.738	0.014984	45.426	48.547	99.450	58.617	151.50	462.60	9.0638	20.903	0.088026
600.00	12.345	649.41	0.0015399	26.777	27.119	63.396	54.902	125.26	749.57	0.46172	75.667	0.50767	0.0083756	72.842	0.013728	45.188	48.242	98.600	59.939	165.40	457.33	8.6837	21.276	0.093664
605.00	13.167	635.53	0.0015735	27.337	27.710	64.338	55.038	132.22	716.21	0.53256	73.691	0.49822	0.0073112	79.669	0.012552	44.919	47.897	97.705	61.338	182.43	451.52	8.3076	21.690	0.10036
610.00	14.033	620.65	0.0016112	27.917	28.324	65.309	55.258	141.00	681.27	0.61660	71.655	0.48836	0.0062690	87.369	0.011446	44.613	47.506	96.755	62.831	203.84	445.11	7.9329	22.153	0.10847
615.00	14.943	604.55	0.0016541	28.522	28.968	66.315	55.593	152.54	644.33	0.71830	69.535	0.47808	0.0052528	96.150	0.010400	44.262	47.062	95.736	64.438	231.63	437.99	7.5564	22.681	0.11850
620.00	15.901	586.88	0.0017039	29.160	29.648	67.371	56.100	168.52	604.73	0.84473	67.297	0.46738	0.0042676	106.31	0.0094067	43.855	46.550	94.631	66.197	269.23	429.99	7.1743	23.295	0.13127
625.00	16.908	567.09	0.0017634	29.841	30.379	68.493	56.880	192.27	561.45	1.0074	64.884	0.45638	0.0033194	118.29	0.0084538	43.377	45.952	93.410	68.168	323.26	420.87	6.7808	24.027	0.14808
630.00	17.969	544.25	0.0018374	30.585	31.180	69.715	58.152	231.08	513.19	1.2251	62.202	0.44547	0.0024169	132.84	0.0075279	42.801	45.238	92.029	70.465	408.19	410.21	6.3669	24.933	0.17136
635.00	19.086	516.71	0.0019353	31.424	32.090	71.093	60.388	302.57	459.03	1.5265	59.094	0.43597	0.0015728	151.35	0.0066074	42.079	44.351	90.402	73.345	563.36	397.19	5.9159	26.121	0.20630
640.00	20.265	481.53	0.0020767	32.422	33.180	72.737	64.521	467.36	400.66	1.9542	55.307	0.43252	0.00080882	177.15	0.0056451	41.095	43.156	88.324	77.576	947.36	379.64	5.3854	27.860	0.26818
