#Adsorption_potential [kJ/mol]    Adsorption_volume [ml/g] 
19.286502746598924       0.011800178555981644 
17.71316429622111       0.022294011310753637 
17.206662446277942       0.026830332994075046 
15.63332399590013       0.04779407275634413 
14.059985545522315       0.07838553322203376 
12.4866470951445       0.10981439484234498 
11.980145245201335       0.11907365903773202 
10.406806794823519       0.14371717873088105 
8.833468344445704       0.16264722997478348 
7.260129894067889       0.17977806502361326 
6.753628044124724       0.18593655237217302 
5.1802895937469104       0.20314873496173746 
3.606951143369095       0.21697781688663081 
2.0336126929912797       0.22858658946441326 
1.5271108430481144       0.2312327771130174 
-0.04622760732970036       0.23732427236920742 
