#Pressure [MPa]         Loading [mg/g] 
0.025908406253610204         3.636804850703499 
0.027862509783080212         4.038227062625175 
0.02996399870424545         4.439649274546859 
0.03222398934403409         4.841071486468529 
0.034654436462023326         5.242493698390213 
0.03726819648799164         5.643915910311889 
0.04007909552907094         6.0453381222335585 
0.043102002506238246         6.446760334155242 
0.046352907807019866         6.848182546076911 
0.049849007870460635         7.379391572202741 
0.05360879615179003         7.918420689804216 
0.05765216094796515         8.549320530094871 
0.06200049060156142         9.351249718616941 
0.06667678663951244         10.153178907138997 
0.07170578544517363         10.955108095661052 
0.07711408910732218         11.757037284183108 
0.08293030613825146         12.55896647270515 
0.08918520280532084         13.360895661227218 
0.09591186587646564         14.162824849749272 
0.1031458776405485         15.0725239629253 
0.11092550412836427         16.242743844738015 
0.11929189752993725         17.412963726550725 
0.1282893138788469         18.583183608363438 
0.13796534715507391         19.753403490176147 
0.1483711810447103         20.923623371988864 
0.15956185968827608         22.093843253801573 
0.17159657884983048         23.264063135614297 
0.18453899904708623         24.441836220626385 
0.1984575822989034         25.64408933868456 
0.2134259542714686         26.84634245674273 
0.22952329373881872         28.048595574800913 
0.24683475141785327         29.25084869285909 
0.26545190039336264         30.45310181091726 
0.28547322051570356         31.655354928975434 
0.3070046193334589         32.85760804703361 
0.33015999231667786         34.04160337529043 
0.35506182533413383         35.141836859002325 
0.38184184257154347         36.242070342714214 
0.4106417033180689         37.250103870873794 
0.4416137513069181         38.19279625181161 
0.4749218205738607         39.13548863274943 
0.5107421020964413         40.07818101368725 
0.5492640757981819         41.02087339462507 
0.5906915128478362         41.96356577556288 
0.6352435535555929         42.906258156500705 
0.6831558665680183         43.84895053743853 
0.7346818954935795         44.67615357645079 
0.7900941995530647         45.40028776266244 
0.8496858953465986         46.124421948874094 
0.913772207363815         46.848556135085744 
0.9826921354389899         47.57269032129739 
1.0568102479715267         48.296824507509044 
1.1365186103974656         49.0209586937207 
1.2222388591131341         49.74509287993235 
1.3144244318214342         50.43676987296727 
1.4135629660987388         51.092078363017244 
1.5201788788701678         51.74738685306722 
1.6348361404380038         52.40269534311721 
1.7581412577371387         53.05800383316719 
1.8907464825981715         53.71331232321717 
2.033353261989059         54.36862081326714 
2.186715948486169         55.023929303317125 
2.351645790602171         55.710956152865066 
2.5290152240785613         56.4427393536595 
2.7197624868426167         57.174522554453915 
2.9248965820407222         57.846072127116116 
3.1455026154011914         58.50449241725851 
3.3827475351598575         59.16291270740091 
3.6378863049111123         59.8213329975433 
3.9122685420372116         60.479753287685696 
4.207345656831337         61.13817357782809 
4.524678530078559         61.796593867970486 
4.865945769707076         62.45501415811288 
5.2329525901852465         63.01453511474909 
5.627640361634147         63.54354113045983 
6.052096879167901         64.07254714617056 
6.50856740678395         64.6015531618813 
6.999466554222549         65.13055917759203 
7.527391049620933         65.65956519330278 
8.095133475526252         66.18857120901352 
8.70569704092705         66.71757722472425 
9.362311467443602         67.18650290412911 
10.068450073710824         67.63057508202331 
10.82784814832567         68.07464725991753 
11.644522708547221         68.51871943781173 
12.522793749267644         68.96279161570592 
13.467307094655643         69.40686379360014 
14.483058973351628         69.85093597149435 
15.57542244721081         70.29500814938855 
16.750175833395645         70.65474412865419 
18.013533270162743         70.9691777805884 
19.37217758802947         71.27898469737197 
20.833295660200108         71.51200361017466 
22.404616419245883         71.74502252297734 
24.094451741137565         71.97804143578003 
25.911740412896012         72.21106034858272 
27.866095416438377         72.44407926138541 
29.967854778738875         72.6770981741881 
32.22813625728864         72.91011708699078 
34.65889615012582         73.14313599979347 
