#Potential [kJ/mol]         Volume [ml/g] 
21.985322755666793         0.0049730925852981556 
20.25637940360326         0.009701032719208373 
19.699783964105276         0.01204749189677863 
17.97084061204174         0.022759153089055646 
16.24189725997821         0.040620260261605354 
14.512953907914676         0.06902792595508919 
13.956358468416694         0.07963952492230991 
12.227415116353159         0.11259001563334978 
10.498471764289627         0.14128786177949687 
8.769528412226094         0.16351668507575415 
8.212932972728112         0.169525421690385 
6.483989620664578         0.18838214800224493 
4.7550462686010455         0.20654344184996357 
3.0261029165375115         0.22340392677195023 
2.4695074770395284         0.2276765837818543 
0.7405641249759953         0.23928880499963803 
