#Adsorption_potential [kJ/mol]    Adsorption_volume [ml/g] 
25.317840299285002       0.0020662449053617127 
23.39871317849448       0.004105999491423916 
22.78089224065172       0.005075545177785951 
20.861765119861197       0.009912677481876318 
18.942637999070676       0.019099520214946087 
17.023510878280156       0.034336751876023745 
16.405689940437394       0.04184410836550463 
14.486562819646872       0.07139670857603701 
12.56743569885635       0.10622618039103164 
10.648308578065828       0.13881457119328777 
10.030487640223068       0.14826631711935265 
8.111360519432544       0.17203872965873213 
6.192233398642022       0.19250515034953292 
4.273106277851501       0.21327885874420796 
3.65528534000874       0.21928686316133664 
1.7361582192182186       0.23664332036637503 
