#Potential [kJ/mol]         Volume [ml/g] 
29.409829148916437         0.0008786924943005842 
27.26017624785078         0.0017687965794362407 
26.56814258474162         0.002202437031168997 
24.41848968367596         0.00430216974482234 
22.268836782610304         0.008678514830072653 
20.119183881544643         0.016643805232953272 
19.427150218435482         0.0203297490726817 
17.277497317369825         0.036568442830989895 
15.127844416304162         0.06390490867640612 
12.978191515238503         0.10058746741574673 
12.286157852129346         0.11256393199715536 
10.136504951063685         0.14841344460553568 
7.986852049998027         0.17706224339698523 
5.837199148932368         0.20208786209829926 
5.145165485823208         0.20918016580229684 
2.9955125847575492         0.23069672032182606 
