#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
280.00	18.079	undefined	9.0341	10.817	53.369	162.70	0.0061463	9.0341	10.817	53.369	29.503	61.234	503.50	1.8185	19.066	0.060977	162.70	0.0061463	9.0341	10.817	53.369	29.503	61.234	503.50	1.8185	19.066	0.060977
290.00	19.589	undefined	9.3298	11.261	54.406	162.70	0.0061463	9.3298	11.261	54.406	29.646	58.895	521.24	1.6176	19.393	0.062052	162.70	0.0061463	9.3298	11.261	54.406	29.646	58.895	521.24	1.6176	19.393	0.062052
300.00	21.097	undefined	9.6273	11.707	55.415	162.70	0.0061463	9.6273	11.707	55.415	29.848	57.076	538.04	1.4407	19.711	0.063203	162.70	0.0061463	9.6273	11.707	55.415	29.848	57.076	538.04	1.4407	19.711	0.063203
310.00	22.601	undefined	9.9270	12.155	56.397	162.70	0.0061463	9.9270	12.155	56.397	30.101	55.653	554.00	1.2839	20.022	0.064420	162.70	0.0061463	9.9270	12.155	56.397	30.101	55.653	554.00	1.2839	20.022	0.064420
320.00	24.102	undefined	10.229	12.606	57.358	162.70	0.0061463	10.229	12.606	57.358	30.399	54.538	569.21	1.1441	20.327	0.065697	162.70	0.0061463	10.229	12.606	57.358	30.399	54.538	569.21	1.1441	20.327	0.065697
330.00	25.599	undefined	10.535	13.059	58.298	162.70	0.0061463	10.535	13.059	58.298	30.737	53.669	583.75	1.0191	20.626	0.067029	162.70	0.0061463	10.535	13.059	58.298	30.737	53.669	583.75	1.0191	20.626	0.067029
340.00	27.094	undefined	10.844	13.516	59.221	162.70	0.0061463	10.844	13.516	59.221	31.110	52.998	597.69	0.90676	20.919	0.068412	162.70	0.0061463	10.844	13.516	59.221	31.110	52.998	597.69	0.90676	20.919	0.068412
350.00	28.584	undefined	11.157	13.976	60.129	162.70	0.0061463	11.157	13.976	60.129	31.513	52.491	611.09	0.80554	21.207	0.069844	162.70	0.0061463	11.157	13.976	60.129	31.513	52.491	611.09	0.80554	21.207	0.069844
360.00	30.072	undefined	11.475	14.440	61.022	162.70	0.0061463	11.475	14.440	61.022	31.943	52.120	624.00	0.71409	21.490	0.071321	162.70	0.0061463	11.475	14.440	61.022	31.943	52.120	624.00	0.71409	21.490	0.071321
370.00	31.555	undefined	11.796	14.908	61.904	162.70	0.0061463	11.796	14.908	61.904	32.397	51.863	636.47	0.63125	21.769	0.072841	162.70	0.0061463	11.796	14.908	61.904	32.397	51.863	636.47	0.63125	21.769	0.072841
380.00	33.036	undefined	12.123	15.380	62.774	162.70	0.0061463	12.123	15.380	62.774	32.871	51.703	648.54	0.55606	22.044	0.074402	162.70	0.0061463	12.123	15.380	62.774	32.871	51.703	648.54	0.55606	22.044	0.074402
390.00	34.513	undefined	12.454	15.857	63.634	162.70	0.0061463	12.454	15.857	63.634	33.364	51.626	660.24	0.48769	22.315	0.076002	162.70	0.0061463	12.454	15.857	63.634	33.364	51.626	660.24	0.48769	22.315	0.076002
400.00	35.987	undefined	12.790	16.338	64.485	162.70	0.0061463	12.790	16.338	64.485	33.872	51.619	671.61	0.42541	22.582	0.077639	162.70	0.0061463	12.790	16.338	64.485	33.872	51.619	671.61	0.42541	22.582	0.077639

