#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
246.00	0.00059305	2.2073e-05	-7.3982	-7.3982	-25.410	835.34	0.0011971	-7.3991	-7.3991	-25.414	59.888	73.688	1281.8	-0.37392	1341.5	0.21005	0.0093466	106.99	30.289	32.322	136.06	60.334	72.689	274.51	10918.	7.9870	0.011063
248.00	0.00069417	2.5610e-05	-7.2505	-7.2505	-24.812	833.43	0.0011999	-7.2515	-7.2515	-24.816	60.105	73.883	1274.2	-0.37252	1287.5	0.20967	0.010857	92.109	30.344	32.393	135.04	61.703	74.311	275.38	9727.1	8.0496	0.011202
250.00	0.00081030	2.9633e-05	-7.1024	-7.1023	-24.217	831.52	0.0012026	-7.1035	-7.1035	-24.222	60.329	74.084	1266.7	-0.37108	1236.5	0.20930	0.012577	79.509	30.399	32.463	134.04	63.083	75.954	276.25	8676.9	8.1123	0.011343
252.00	0.00094332	3.4200e-05	-6.9539	-6.9538	-23.625	829.61	0.0012054	-6.9552	-6.9551	-23.631	60.559	74.292	1259.3	-0.36961	1188.1	0.20892	0.014532	68.812	30.453	32.533	133.07	64.474	77.615	277.12	7750.0	8.1750	0.011485
254.00	0.0010953	3.9371e-05	-6.8049	-6.8048	-23.037	827.71	0.0012081	-6.8064	-6.8063	-23.043	60.795	74.507	1251.9	-0.36810	1142.4	0.20855	0.016749	59.705	30.507	32.603	132.11	65.871	79.291	277.99	6930.8	8.2377	0.011629
256.00	0.0012685	4.5210e-05	-6.6555	-6.6553	-22.451	825.81	0.0012109	-6.6571	-6.6571	-22.457	61.039	74.728	1244.5	-0.36655	1099.0	0.20817	0.019256	51.932	30.561	32.672	131.17	67.274	80.982	278.86	6206.2	8.3004	0.011773
258.00	0.0014655	5.1791e-05	-6.5055	-6.5054	-21.867	823.92	0.0012137	-6.5075	-6.5074	-21.875	61.288	74.957	1237.2	-0.36497	1057.8	0.20779	0.022085	45.280	30.615	32.741	130.25	68.680	82.684	279.73	5564.6	8.3632	0.011919
260.00	0.0016889	5.9189e-05	-6.3551	-6.3549	-21.286	822.03	0.0012165	-6.3573	-6.3573	-21.295	61.544	75.193	1229.9	-0.36334	1018.7	0.20741	0.025270	39.573	30.668	32.810	129.35	70.086	84.394	280.60	4995.8	8.4260	0.012066
262.00	0.0019417	6.7489e-05	-6.2042	-6.2040	-20.708	820.14	0.0012193	-6.2067	-6.2066	-20.718	61.806	75.436	1222.6	-0.36168	981.64	0.20703	0.028848	34.665	30.721	32.878	128.46	71.491	86.111	281.46	4491.0	8.4888	0.012214
264.00	0.0022273	7.6780e-05	-6.0527	-6.0525	-20.132	818.25	0.0012221	-6.0556	-6.0555	-20.144	62.074	75.687	1215.4	-0.35997	946.36	0.20665	0.032858	30.434	30.774	32.946	127.59	72.893	87.832	282.32	4042.6	8.5516	0.012363
266.00	0.0025490	8.7158e-05	-5.9007	-5.9005	-19.559	816.36	0.0012249	-5.9039	-5.9038	-19.571	62.349	75.946	1208.3	-0.35821	912.81	0.20628	0.037345	26.777	30.827	33.014	126.74	74.288	89.556	283.18	3643.7	8.6144	0.012514
268.00	0.0029107	9.8728e-05	-5.7482	-5.7478	-18.987	814.48	0.0012278	-5.7518	-5.7517	-19.002	62.630	76.212	1201.2	-0.35641	880.88	0.20590	0.042353	23.611	30.880	33.082	125.90	75.676	91.279	284.04	3288.5	8.6773	0.012666
270.00	0.0033166	0.00011160	-5.5950	-5.5946	-18.418	812.60	0.0012306	-5.5991	-5.5990	-18.434	62.917	76.487	1194.1	-0.35457	850.48	0.20552	0.047933	20.862	30.932	33.149	125.08	77.055	92.999	284.90	2971.8	8.7401	0.012819
272.00	0.0037710	0.00012589	-5.4413	-5.4408	-17.851	810.72	0.0012335	-5.4459	-5.4457	-17.868	63.210	76.769	1187.1	-0.35268	821.51	0.20514	0.054138	18.471	30.985	33.217	124.27	78.422	94.716	285.75	2689.2	8.8029	0.012974
274.00	0.0042789	0.00014173	-5.2869	-5.2864	-17.285	808.85	0.0012363	-5.2920	-5.2919	-17.305	63.508	77.059	1180.1	-0.35074	793.91	0.20476	0.061024	16.387	31.037	33.284	123.48	79.776	96.426	286.60	2436.6	8.8657	0.013130
276.00	0.0048454	0.00015926	-5.1319	-5.1313	-16.721	806.97	0.0012392	-5.1376	-5.1374	-16.744	63.813	77.358	1173.2	-0.34875	767.57	0.20438	0.068653	14.566	31.089	33.350	122.70	81.115	98.128	287.44	2210.7	8.9285	0.013287
278.00	0.0054761	0.00017860	-4.9762	-4.9755	-16.159	805.10	0.0012421	-4.9826	-4.9824	-16.184	64.123	77.664	1166.3	-0.34671	742.45	0.20400	0.077089	12.972	31.141	33.417	121.94	82.438	99.820	288.28	2008.3	8.9912	0.013446
280.00	0.0061768	0.00019993	-4.8198	-4.8191	-15.599	803.23	0.0012450	-4.8270	-4.8267	-15.626	64.438	77.979	1159.5	-0.34461	718.46	0.20362	0.086401	11.574	31.192	33.483	121.19	83.743	101.50	289.12	1826.8	9.0539	0.013606
282.00	0.0069542	0.00022340	-4.6627	-4.6619	-15.040	801.36	0.0012479	-4.6707	-4.6704	-15.070	64.759	78.302	1152.7	-0.34247	695.55	0.20324	0.096663	10.345	31.244	33.549	120.46	85.029	103.17	289.95	1663.9	9.1166	0.013768
284.00	0.0078148	0.00024918	-4.5049	-4.5040	-14.482	799.49	0.0012508	-4.5138	-4.5135	-14.515	65.085	78.634	1146.0	-0.34027	673.66	0.20286	0.10795	9.2634	31.295	33.615	119.74	86.295	104.82	290.78	1517.5	9.1793	0.013931
286.00	0.0087662	0.00027745	-4.3463	-4.3453	-13.926	797.62	0.0012537	-4.3562	-4.3558	-13.963	65.416	78.973	1139.3	-0.33802	652.72	0.20248	0.12035	8.3090	31.347	33.681	119.03	87.539	106.46	291.60	1385.7	9.2419	0.014096
288.00	0.0098159	0.00030841	-4.1869	-4.1858	-13.370	795.75	0.0012567	-4.1979	-4.1975	-13.411	65.752	79.321	1132.6	-0.33572	632.70	0.20210	0.13395	7.4655	31.398	33.746	118.34	88.761	108.08	292.41	1267.0	9.3044	0.014262
290.00	0.010972	0.00034225	-4.0268	-4.0255	-12.816	793.87	0.0012596	-4.0389	-4.0385	-12.861	66.093	79.678	1126.0	-0.33336	613.53	0.20172	0.14884	6.7188	31.449	33.811	117.66	89.960	109.68	293.22	1159.9	9.3669	0.014430
